funding_total_usd,country_code,city,funding_rounds
10000000.0,AS,Beijing,1.0
5100000.0,EU,London,1.0
6100000.0,NorthAm,Seattle,2.0
368750.0,EU,Madrid,1.0
5955000.0,NorthAm,Rancho Santa Fe,2.0
8000000.0,NorthAm,Los Angeles,1.0
12800000.0,NorthAm,New York,3.0
15873.0,EU,London,1.0
50000.0,NorthAm,Boulder,1.0
3987693.0,AS,Seoul,2.0
250000.0,NorthAm,New York,1.0
7000000.0,NorthAm,San Francisco,1.0
3000000.0,NorthAm,Roseville,1.0
17129760.0,NorthAm,Seattle,4.0
3500000.0,NorthAm,Beverly Hills,1.0
1300000.0,EU,Edinburgh,3.0
100000.0,NorthAm,Mountain View,1.0
3050000.0,NorthAm,Chicago,3.0
3019139.0,NorthAm,San Francisco,2.0
100000.0,NorthAm,Cedar Park,1.0
11052498.0,NorthAm,New York,2.0
37143865.0,NorthAm,Raleigh,5.0
5714285.71428571,NorthAm,Vaughan,1.0
1000000.0,AS,Beijing,2.0
32000000.0,NorthAm,San Francisco,3.0
8000000.0,NorthAm,San Francisco,2.0
3134880.0,EU,Milan,1.0
6700000.0,NorthAm,Morrisville,2.0
2569720.0,NorthAm,Arnold,2.0
1556687.0,EU,London,3.0
6528902.0,NorthAm,Austin,3.0
150000.0,Other,Tel Aviv,1.0
1613014.0,NorthAm,Easley,1.0
10000000.0,NorthAm,Pompano Beach,1.0
15000000.0,AS,Beijing,1.0
2450000.0,NorthAm,Fort Lauderdale,5.0
190035.0,EU,Espoo,1.0
3107198.0,AS,Beijing,1.0
1500000.0,NorthAm,New York,2.0
650000.0,Other,Wellington,1.0
2875000.0,NorthAm,San Leandro,1.0
1500000.0,NorthAm,Pearland,1.0
16036000.0,NorthAm,Beverly,6.0
47570.0,EU,Surbiton,1.0
20068328.451591,EU,London,4.0
1136548.0,AS,Beijing,2.0
1017470.0,NorthAm,Seattle,3.0
3000000.0,NorthAm,New York,1.0
9850000.0,NorthAm,Akron,4.0
600000.0,NorthAm,Milwaukee,3.0
269260.0,EU,Amsterdam,2.0
500000.0,EU,London,1.0
4500000.0,NorthAm,New York,2.0
17000000.0,AS,Hong Kong,2.0
2100000.0,NorthAm,Toronto,1.0
25000.0,NorthAm,Pittsburgh,2.0
77000000.0,NorthAm,Portland,2.0
100000.0,NorthAm,Southern Md Facility,1.0
25000.0,NorthAm,Pittsburgh,3.0
5100000.0,NorthAm,Newport Beach,1.0
27000000.0,NorthAm,New York,2.0
400000.0,NorthAm,Los Angeles,1.0
55398.0,EU,Logroño,1.0
140000.0,EU,London,2.0
12250000.0,NorthAm,Woburn,2.0
2730000.0,NorthAm,Palo Alto,3.0
30000000.0,NorthAm,Folsom,1.0
5279980.0,NorthAm,San Francisco,3.0
24600000.0,AS,Suzhou,1.0
150000.0,AS,Singapore,1.0
126000000.0,NorthAm,San Jose,1.0
4500000.0,NorthAm,Menlo Park,2.0
29300000.0,NorthAm,Boston,4.0
38800000.0,EU,London,3.0
100000.0,Other,Tel Aviv,1.0
20000000.0,AS,Fuzhou Shi,1.0
317460.0,AS,Jincheng,1.0
30000000.0,AS,Fuzhou Shi,1.0
15000.0,NorthAm,Chattanooga,1.0
3000000.0,NorthAm,Denver,2.0
